batting_team,bowling_team,venue,target_score,current_score,overs_left,wickets_left,winner
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,157,62,13.3,8,1
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,194,20,4.6,1,0
Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium,167,124,15.9,7,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,128,2,2.4,9,0
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,135,25,1.9,3,0
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,139,63,13.3,3,0
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,198,8,15.9,6,0
Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla,207,147,13.5,5,1
Rajasthan Royals,Mumbai Indians,Eden Gardens,173,110,8.5,3,0
Delhi Capitals,Mumbai Indians,Narendra Modi Stadium,166,70,10.7,4,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Feroz Shah Kotla,199,198,3.4,1,1
Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,181,168,0.4,8,0
Sunrisers Hyderabad,Punjab Kings,MA Chidambaram Stadium,154,122,11.9,7,1
Chennai Super Kings,Rajasthan Royals,Feroz Shah Kotla,217,106,3.8,3,0
Sunrisers Hyderabad,Delhi Capitals,MA Chidambaram Stadium,169,40,6.8,9,0
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,146,74,9.6,3,0
Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,187,85,9.3,7,0
Chennai Super Kings,Mumbai Indians,Narendra Modi Stadium,203,169,11.2,10,1
Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,125,83,3.8,4,0
Delhi Capitals,Chennai Super Kings,Feroz Shah Kotla,214,202,2.1,3,1
Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,199,75,4.9,3,0
Delhi Capitals,Rajasthan Royals,M. Chinnaswamy Stadium,158,132,18.7,10,1
Mumbai Indians,Chennai Super Kings,Narendra Modi Stadium,194,3,10.9,10,0
Punjab Kings,Mumbai Indians,Wankhede Stadium,146,55,14.2,3,0
Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,130,51,13.4,7,1
Mumbai Indians,Sunrisers Hyderabad,Feroz Shah Kotla,125,108,2.1,4,1
Royal Challengers Bangalore,Chennai Super Kings,Eden Gardens,178,9,10.8,3,0
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,134,38,17.9,6,1
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,143,31,6.8,1,0
Delhi Capitals,Mumbai Indians,Feroz Shah Kotla,142,135,4.7,6,1
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,151,26,14.7,6,0
Chennai Super Kings,Mumbai Indians,Feroz Shah Kotla,163,83,13.6,3,0
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,211,32,15.5,4,0
Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla,171,77,9.8,4,0
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,123,103,15.2,1,1
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,149,139,7.3,8,1
Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,215,72,12.4,8,0
Punjab Kings,Sunrisers Hyderabad,Narendra Modi Stadium,188,68,16.0,5,0
Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,158,25,3.9,2,0
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,218,78,8.2,3,0
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,142,68,15.8,0,0
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,155,90,16.5,3,1
Sunrisers Hyderabad,Mumbai Indians,Narendra Modi Stadium,203,122,7.5,0,0
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,206,32,7.8,2,0
Delhi Capitals,Mumbai Indians,Wankhede Stadium,189,85,16.9,5,1
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,129,117,9.2,9,1
Delhi Capitals,Mumbai Indians,Wankhede Stadium,194,177,3.6,7,1
Chennai Super Kings,Punjab Kings,Feroz Shah Kotla,134,77,8.0,5,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,213,105,18.5,5,1
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,177,135,8.5,9,1
Mumbai Indians,Kolkata Knight Riders,Feroz Shah Kotla,132,25,1.4,6,0
Punjab Kings,Kolkata Knight Riders,Wankhede Stadium,143,79,14.2,10,1
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,212,205,8.5,1,1
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,144,107,16.6,5,1
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,191,2,11.5,4,0
Delhi Capitals,Sunrisers Hyderabad,MA Chidambaram Stadium,161,32,18.7,7,0
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,184,106,11.2,5,1
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,125,91,5.3,0,0
Royal Challengers Bangalore,Chennai Super Kings,M. Chinnaswamy Stadium,209,59,5.9,8,0
Punjab Kings,Chennai Super Kings,MA Chidambaram Stadium,156,50,9.7,1,0
Rajasthan Royals,Delhi Capitals,Wankhede Stadium,139,53,14.3,6,1
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,211,117,12.1,9,1
Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,181,141,1.9,8,0
Punjab Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,168,60,1.4,0,0
Rajasthan Royals,Kolkata Knight Riders,Narendra Modi Stadium,219,133,0.9,10,0
Punjab Kings,Delhi Capitals,M. Chinnaswamy Stadium,206,37,5.2,8,0
Kolkata Knight Riders,Royal Challengers Bangalore,M. Chinnaswamy Stadium,209,189,1.7,4,1
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,209,105,19.8,10,1
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,149,119,14.7,2,1
Rajasthan Royals,Kolkata Knight Riders,MA Chidambaram Stadium,163,22,19.8,1,0
Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,134,130,12.4,7,1
Royal Challengers Bangalore,Rajasthan Royals,Eden Gardens,186,49,14.2,3,0
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,138,48,19.2,0,0
Chennai Super Kings,Sunrisers Hyderabad,Feroz Shah Kotla,186,143,11.4,8,1
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,172,128,3.4,1,0
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,160,41,3.5,8,0
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,176,153,7.0,8,1
Kolkata Knight Riders,Chennai Super Kings,M. Chinnaswamy Stadium,153,123,19.2,6,1
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,161,123,11.7,3,1
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,123,1,3.0,3,0
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,125,52,14.9,10,1
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,161,27,13.9,6,0
Kolkata Knight Riders,Delhi Capitals,M. Chinnaswamy Stadium,136,77,8.7,7,1
Kolkata Knight Riders,Delhi Capitals,MA Chidambaram Stadium,196,39,16.0,1,0
Chennai Super Kings,Rajasthan Royals,Feroz Shah Kotla,170,34,8.6,8,0
Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,159,77,13.2,9,1
Punjab Kings,Delhi Capitals,M. Chinnaswamy Stadium,161,101,9.0,4,1
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,142,106,1.9,2,0
Kolkata Knight Riders,Punjab Kings,Eden Gardens,219,179,4.7,3,1
Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,147,74,13.7,4,1
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,200,24,4.0,5,0
Delhi Capitals,Chennai Super Kings,Narendra Modi Stadium,129,73,11.0,5,1
Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,146,30,19.3,6,0
Rajasthan Royals,Royal Challengers Bangalore,MA Chidambaram Stadium,152,27,2.4,6,0
Royal Challengers Bangalore,Chennai Super Kings,M. Chinnaswamy Stadium,130,56,5.2,8,0
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,163,116,6.5,9,1
Mumbai Indians,Rajasthan Royals,MA Chidambaram Stadium,177,164,9.3,8,1
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,124,122,10.4,0,1
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,131,75,6.1,6,1
Delhi Capitals,Rajasthan Royals,Narendra Modi Stadium,198,14,13.8,8,0
Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,144,140,0.8,10,1
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,215,131,17.0,10,1
Punjab Kings,Chennai Super Kings,Wankhede Stadium,131,125,5.0,5,1
Royal Challengers Bangalore,Rajasthan Royals,MA Chidambaram Stadium,189,85,12.8,2,0
Royal Challengers Bangalore,Mumbai Indians,M. Chinnaswamy Stadium,217,209,15.0,5,1
Mumbai Indians,Kolkata Knight Riders,Narendra Modi Stadium,198,90,4.7,0,0
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,120,29,15.3,3,0
Rajasthan Royals,Sunrisers Hyderabad,Feroz Shah Kotla,143,38,13.0,1,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Wankhede Stadium,182,129,7.5,10,1
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,220,77,2.7,6,0
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,149,125,2.4,9,1
Punjab Kings,Chennai Super Kings,Narendra Modi Stadium,183,61,19.5,2,0
Delhi Capitals,Mumbai Indians,MA Chidambaram Stadium,163,140,13.5,5,1
Rajasthan Royals,Punjab Kings,Eden Gardens,186,18,3.5,8,0
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,219,11,16.5,5,0
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,208,95,1.7,0,0
Chennai Super Kings,Punjab Kings,MA Chidambaram Stadium,174,10,9.2,8,0
Punjab Kings,Delhi Capitals,Wankhede Stadium,157,124,15.9,9,1
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,147,11,3.1,10,0
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,141,113,15.0,3,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,136,107,8.4,2,1
Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla,151,5,4.2,4,0
Mumbai Indians,Punjab Kings,Eden Gardens,170,81,4.9,3,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,167,105,15.5,6,1
Chennai Super Kings,Punjab Kings,Feroz Shah Kotla,124,124,12.0,6,1
Royal Challengers Bangalore,Chennai Super Kings,Feroz Shah Kotla,158,26,15.1,1,0
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,186,9,13.3,7,0
Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,192,77,1.0,5,0
Mumbai Indians,Punjab Kings,M. Chinnaswamy Stadium,185,62,11.7,0,0
Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,215,167,13.0,3,1
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,121,56,9.9,5,1
Mumbai Indians,Royal Challengers Bangalore,Narendra Modi Stadium,166,41,0.6,5,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Feroz Shah Kotla,185,134,2.0,6,0
Chennai Super Kings,Delhi Capitals,M. Chinnaswamy Stadium,126,22,19.4,1,0
Rajasthan Royals,Punjab Kings,Feroz Shah Kotla,130,93,15.0,0,1
Punjab Kings,Sunrisers Hyderabad,Feroz Shah Kotla,211,96,2.7,4,0
Delhi Capitals,Kolkata Knight Riders,Narendra Modi Stadium,131,35,3.5,1,0
Sunrisers Hyderabad,Delhi Capitals,Wankhede Stadium,143,123,3.9,7,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Narendra Modi Stadium,155,106,2.8,5,0
Sunrisers Hyderabad,Rajasthan Royals,MA Chidambaram Stadium,154,98,1.7,5,0
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,189,181,10.9,8,1
Royal Challengers Bangalore,Punjab Kings,Feroz Shah Kotla,202,54,18.9,3,0
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,203,115,18.3,6,1
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,209,51,8.7,7,0
Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla,124,114,11.7,5,1
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,162,144,2.2,1,0
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,166,136,13.0,4,1
Rajasthan Royals,Sunrisers Hyderabad,MA Chidambaram Stadium,136,110,11.2,10,1
Sunrisers Hyderabad,Chennai Super Kings,MA Chidambaram Stadium,194,163,6.9,4,1
Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,212,61,16.9,7,0
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,208,104,18.4,0,0
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,171,170,4.0,3,1
Punjab Kings,Mumbai Indians,MA Chidambaram Stadium,219,208,13.5,8,1
Punjab Kings,Chennai Super Kings,Wankhede Stadium,164,63,2.3,3,0
